id,year,best,high,low
162272,2014,0,4,0
164618,1994,3,3,3
190620,2004,2,2,2
183930,2007,1,2,1
190711,2002,1,1,1
192413,2006,1,2,1
192588,2007,17,18,17
86035,2002,1,1,1
209431,2015,1,1,1
209802,2015,1,1,1
209825,2015,1,1,1
209945,2015,1,1,1
210054,2015,8,8,8
210958,2015,1,1,1
210989,2015,2,2,2
210917,2015,3,3,3
210961,2015,1,1,1
211024,2015,1,1,1
211397,2015,1,1,1
87640,2003,2,2,2
86033,2002,2,2,2
86036,2002,3,3,3
72449,2007,1,1,1
86706,2003,1,1,1
72654,2007,1,1,1
90918,2006,2,2,2
53194,2003,5,5,5
55072,1999,18,18,18
59686,1999,36,36,36
64620,2013,0,1,0
64847,2013,1,1,1
64874,2013,1,1,0
65493,2013,1,1,1
86294,1993,3,3,3
86891,1999,3,3,3
86748,2003,2,2,2
86988,2003,2,2,2
87328,2006,0,1,0
87404,2005,1,1,1
87463,2006,1,1,1
87748,2006,2,3,2
87967,2010,0,5,0
88155,1997,9,9,9
88729,2009,1,1,0
88369,2012,5,5,5
88449,1998,5,5,5
88727,1998,2,2,2
88919,2010,1,1,1
88945,2005,2,2,2
91340,1994,4,4,4
92671,2005,1,1,1
92692,2004,1,1,1
92620,2000,1,1,1
96274,2003,0,52,0
85019,2001,0,5,0
85052,2004,1,1,1
87096,2003,2,2,2
87211,2002,2,2,2
58794,2011,3,3,3
87220,2002,6,6,6
64378,2013,0,1,0
72798,2007,2,2,2
73458,2007,2,2,2
83804,2007,1,1,1
85147,1993,6,6,6
86904,2009,1,1,1
87856,2005,1,1,1
88649,2009,2,2,2
87539,2004,1,1,1
90734,2011,9,9,9
94112,1996,3,3,3
94367,2006,3,3,3
95906,1999,2,3,2
92872,2002,5,5,5
93130,2005,1,1,1
97250,1989,1,1,1
97496,2010,1,1,1
95505,1989,22,22,22
96991,1990,3,3,3
108683,2010,1,1,1
156671,2014,2,2,0
158788,2014,0,1,0
84945,2004,2,5,2
181190,2006,1,1,1
190764,1989,8,8,8
84624,2003,4,4,4
85290,2002,3,3,3
85441,2009,2,2,2
85447,2006,2,2,2
85517,2004,12,12,11
208070,2015,1,1,1
208071,2015,1,1,1
209962,2015,1,1,1
211266,2015,0,1,0
217602,2004,18,18,18
85618,1991,0,1,0
85660,2006,1,1,1
85668,1990,1,1,1
85670,1989,3,3,3
85672,1989,6,357,6
85673,2004,0,1,0
85676,2005,0,3,0
85677,2005,1,1,1
85707,1999,1,1,1
85678,2005,3,3,3
85679,2005,1,1,1
85680,1994,2,2,2
85681,1995,68,68,68
85682,2005,1,1,1
85683,2005,1,1,1
85684,2005,1,1,1
85685,1990,1,1,1
85686,1990,7,7,7
85691,2002,9,9,9
85723,2001,0,4,0
85694,1998,3,3,3
85696,2006,1,1,1
85697,2006,1,1,1
85698,2003,2,2,2
85699,2006,2,2,2
85700,1999,1,2,1
85701,2004,1,1,1
85702,2004,2,2,2
85703,1998,1,1,1
85704,2004,4,4,4
85705,2004,1,1,1
88107,2002,1,1,1
85708,1999,1,1,1
85709,2004,1,1,1
85710,2004,1,1,1
85712,2003,1,1,0
85713,2003,1,1,1
85714,2003,3,5,3
85715,2003,3,3,3
85716,2003,6,6,6
85717,2003,1,1,0
85718,2001,1,1,1
85719,2001,1,1,1
85720,2001,0,7,0
85721,2001,0,5,0
85722,2001,0,3,0
85725,2006,1,1,1
85755,2001,2,2,2
85761,2010,1,1,1
85762,2004,1,1,1
85763,2004,2,2,2
85764,2004,1,1,1
85765,2002,4,4,4
85766,2004,2,2,2
85767,2006,0,2,0
85768,2006,1,1,1
85772,2005,2,2,2
85773,2010,1,1,1
85740,1990,1,1,1
85741,1990,1,1,1
85742,1990,0,1,0
85743,2004,1,1,1
85744,2004,4,4,4
85745,2002,2,2,2
85746,1993,6,6,6
85747,1993,5,5,5
85749,2004,2,2,2
85750,2004,2,2,2
85751,1996,10,10,10
85754,2001,3,3,3
85774,2005,2,1,2
85775,2005,2,2,2
85776,2005,1,1,1
85779,1997,9,9,9
85780,1997,4,4,4
85781,2006,2,2,2
85782,2006,4,4,4
85783,2003,1,1,1
85784,2003,1,1,1
149375,2014,1,1,1
86243,2004,1,1,1
86244,2004,1,1,1
86246,2005,1,1,1
86247,2005,2,2,2
86250,2005,1,1,1
86251,2005,1,1,1
86252,2005,1,1,1
86253,1997,43,43,43
86254,2003,1,1,1
86255,2005,1,1,1
88125,2002,4,4,4
86256,2005,3,3,3
86257,2005,1,1,1
86258,2005,1,1,1
86259,2005,1,1,1
86260,2005,1,1,1
86261,2006,2,2,2
86262,1998,3,3,3
86264,1990,1,1,1
86265,2002,1,1,1
86266,2006,0,3,0
86267,2001,0,1,0
86268,2001,0,5,0
86270,2002,7,7,7
85796,2005,1,1,1
85797,2011,1,1,1
85798,2011,1,1,1
85799,2002,4,4,4
85800,2005,1,1,1
85801,2005,1,1,1
85802,2004,2,9,2
85804,2005,2,2,2
85805,2005,0,1,0
85806,2005,1,1,1
85807,2004,1,1,1
85809,2004,1,1,1
85810,2004,1,1,1
85812,2004,5,5,5
85813,2004,4,4,4
85814,2003,7,7,7
85815,2003,3,3,3
85816,2003,1,1,1
85817,2004,3,3,3
85818,2004,3,3,3
85819,2004,6,6,6
85820,2003,1,11,1
85822,2003,2,2,2
85823,2003,1,1,1
85824,2003,1,1,1
85829,2004,1,1,1
85830,2004,2,2,2
85831,2004,1,1,1
85832,2004,2,2,2
85833,2004,6,6,6
